transect,quadrat,tidal,lat,lon,star_dens,barn_dens,mussel_dens,algae_stalk,algae_percent,star_percent,barn_percent,mussel_percent,barnacle_species,mussel_species,starfish_species,algae_species
2,18,high,48.834344,-125.147074,0,1680,2.16,,99.00,0,1,6,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,19,high,48.834344,-125.147074,0,8160,0.12,,93.00,0,1,3,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,20,high,48.834344,-125.147074,0,2800,2.16,,86.00,0,1,9,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,21,high,48.834344,-125.147074,0,3200,5.76,,74.00,0,1,16,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,22,high,48.834344,-125.147074,0,4400,0.16,,65.00,0,1,4,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,23,high,48.834344,-125.147074,0,2880,0,,67.00,0,1,0,Semibalanus balanoides,,,fucus distichus
2,24,high,48.834344,-125.147074,0,1296,0,,81.00,0,1,0,Semibalanus balanoides,,,fucus distichus
4,1,low,48.83447,-125.14728,0,11680,60,0,9,0,60,3,semibalanus balanoides,Pacific Blue,N/A,
4,2,low,48.83447,-125.14728,0,12320,480,0,43,0,44,10,semibalanus balanoides,Pacific Blue ,N/A,
4,3,low,48.83447,-125.14728,0,840,300,0,75,0,7,5,semibalanus balanoides,Pacific Blue,N/A,
4,4,low,48.83447,-125.14728,0,0,1960,0,10,0,5,35,semibalanus balanoides,Pacific Blue (shells only),N/A,
4,5,low,48.83447,-125.14728,0,0,0,0,30,0,0,0,,Pacific Blue (shells only),N/A,
4,6,high,48.83435,-125.14705,0,0,0,0,25,0,0,1,,Pacific Blue (shells only),N/A,
4,7,high,48.83435,-125.14705,1,16000,0,0,35,1,10,1,,Pacific Blue (shells only),Pisaster,
4,8,high,48.83435,-125.14705,0,680,28,0,60,0,10,0.5,,Pacific Blue,N/A,
4,9,high,48.83435,-125.14705,0,25600,476,0,10,0,80,7,semibalanus balanoides,Pacific Blue,N/A,
4,10,high,48.83435,-125.14705,0,500,0,0,0,0,5,0,,N/A,N/A,
4,11,high,48.83435,-125.14705,0,22,0,0,0,0,1,0,,N/A,N/A,
6,1,low,48.83412,-125.14658,0,0,0,,86,0,0,0,,,,Macrocystis integrifolia
6,2,low,48.83412,-125.14658,0,0,0,,77,0,0,0,,,,Macrocystis integrifolia
6,3,low,48.83412,-125.14658,0,0,0,,21,0,0,0,,,,"Macrocystis integrifolia, Pterygophora californica"
6,4,low,48.83412,-125.14658,0,0,0,,25,0,0,0,,,,Macrocystis integrifolia
6,5,low,48.83412,-125.14658,0,0,0,,12,0,0,0,,,,Macrocystis integrifolia
6,6,low,48.83412,-125.14658,0,0,0,,1,0,0,0,,,,"Macrocystis integrifolia, Leathesia difformis"
6,7,high,48.83413,-125.14674,1,0,0,,8,1,0,0,,,Dermasterias imbricata,"Macrocystis integrifolia, Leathesia difformis"
6,8,high,48.83413,-125.14674,0,0,0,,31,0,0,0,,,,Fucus spp.
6,9,high,48.83413,-125.14674,1,0,0,,74,0.25,0,0,,,Pisaster ochraceus,Fucus spp.
6,10,high,48.83413,-125.14674,0,2784,0,,54,0,48,0,Balanus glandula,Mytilus trossulus,,Fucus spp.
6,11,high,48.83413,-125.14674,0,12276,0,,59,0,93,0,Balanus glandula,,,Fucus spp.
6,12,high,48.83413,-125.14674,0,16200,0,,19,0,45,0,Balanus glandula,,,Fucus spp.
1,1,low,48.833993,-125.147521,0,0,0,4,40,0,0,0,,,,Giant Kelp
1,2,low,48.833993,-125.147521,0,0,0,9,88,0,0,0,,,,"Giant Kelp, Sea Cauliflower"
1,3,low,48.833993,-125.147521,0,0,0,11,90,0,0,0,,,,"Round brown bag, giant kelp, feather boa"
1,4,low,48.833993,-125.147521,1,5,0,-,30,0.5,0.05,0,,,,"Round brown bag, giant kelp, feather boa"
1,5,low,48.833993,-125.147521,5,10,0,10,18,3,2,0,,,,"Rockweed, Round brown bag, feather boa"
1,6,low,48.833993,-125.147521,2,28,0,66,48,2,10,0,,,,"Rockweed, Round brown bag, "
1,7,low,48.833993,-125.147521,1,230.4,0,-,40,0.5,40,0,,,,Rockweed
1,8,low,48.833993,-125.147521,0,333,0,65,58,0,90,0,,,,Rockweed
1,9,high,48.833989,-125.147339,2,429,0,1,2,1,55,0,,,,Rockweed
1,10,high,48.833989,-125.147339,3,12,0,0,0,3,3,0,,,,
1,11,high,48.833989,-125.147339,0,18,0,0,0,0,6,0,,,,
1,12,high,48.833989,-125.147339,3,427,0,94,25,2,35,0,,,,"Rockweed, round brown bag"
1,13,high,48.833989,-125.147339,0,456,0,50,50,0,60,0,,,,Rockweed
1,14,high,48.833989,-125.147339,0,153,0,100,64,0,34,0,,,,Rockweed
1,15,high,48.833989,-125.147339,0,990,0,210,66,0,90,0,,,,Rockweed
1,16,high,48.833989,-125.147339,0,96,0,53,10,0,30,0,,,,Rockweed
1,17,high,48.833989,-125.147339,0,0,0,0,0,0,0,0,,,,
3,1,low,48.834388,-125.147365,0,,0,,100,0,0,0,,,,"Chondracanthus exasperatus, Mastocarpus papillatus, Mazzaella splendens, Macrocystis pyrifera, filamentous red, Saccharina groenlandica"
3,2,low,48.834388,-125.147365,0,,0,,100,0,0,0,,,,"Chondracanthus exasperatus, Halosaccion glandiforme, Egregia menziesii"
3,3,low,48.834388,-125.147365,0,,0,,100,0,0,0,,,,"Chondracanthus exasperatus, Egregia menziesii, Witch's broom, Mazzaella splendens, Grateloupia americana, Fucus distichus"
3,4,low,48.834388,-125.147365,1,11760,0,,50,1,49,0,Chthamalus dalli ,,Pisaster ochraceus,Fucus distichus
3,5,low,48.834388,-125.147365,1,11760,0,,50,1,49,0,"Chthamalus dalli, Balanus glandula ",,Pisaster ochraceus,Fucus distichus
3,6,low,48.834388,-125.147365,1,9360,0,,60,1,39,0,Chthamalus dalli ,,Pisaster ochraceus,Fucus distichus
3,7,low,48.834388,-125.147365,3,480,0,,20,5,2,0,Chthamalus dalli ,,Pisaster ochraceus,"Fucus distichus, Egregia menziesii, Halosaccion glandiforme"
3,8,low,48.834388,-125.147365,2,800,0,,45,2,5,0,Chthamalus dalli ,,Pisaster ochraceus,"Fucus distichus, Egregia menziesii, Witch's broom"
3,9,low,48.834388,-125.147365,5,800,0,,18,7,5,0,"Chthamalus dalli , Semibalanus cariousous ",,Pisaster ochraceus,"Fucus distichus, Halosaccion glandiforme"
3,10,low,48.834388,-125.147365,3,1920,0,,26,4,20,0,Chthamalus dalli Balanus glandula ,,,"Fucus distichus, Leathesia marina"
3,11,low,48.834388,-125.147365,2,1280,0,,12,3,40,0,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",,Pisaster ochraceus,Fucus distichus
3,12,low,48.834388,-125.147365,0,864,0,,20,0,18,0,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",,,"Fucus distichus, Noodle, Spaghetti"
3,13,low,48.834388,-125.147365,0,3200,0,,15,0,40,0,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,"Fucus distichus, Pollicipes polymerus"
3,14,low,48.834388,-125.147365,1,1440,0,,14,2,30,0,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous, Pollicipes polymerus ",Mytilus californianus,Pisaster ochraceus,"Fucus distichus, Noodle"
3,15,low,48.834388,-125.147365,0,2560,800,,2,0,40,50,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous, Pollicipes polymerus ",Mytilus trossulus,,Fucus distichus
3,16,low,48.834388,-125.147365,0,2400,640,,1,0,50,40,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
3,17,low,48.834388,-125.147365,1,304,16,,7,2,19,1,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",,Pisaster ochraceus,"Fucus distichus, Leathesia marina"
3,18,low,48.834388,-125.147365,0,160,0,,8,0,5,0,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",,,"Fucus distichus, Leathesia marina"
3,19,low,48.834388,-125.147365,6,384,0,,6,6,3,0,Chthamalus dalli,,Pisaster ochraceus,"Fucus distichus, Egregia menziesii"
3,20,high,48.834553,-125.146991,8,80,0,,13,10,1,0,Chthamalus dalli,,Pisaster ochraceus,"Fucus distichus, Egregia menziesii"
3,21,high,48.834553,-125.146991,0,240,0,,3,0,3,0,Chthamalus dalli,,,Fucus distichus
3,22,high,48.834553,-125.146991,1,640,0,,2,1,5,0,Chthamalus dalli,,Pisaster ochraceus,Fucus distichus
3,23,high,48.834553,-125.146991,0,96,0,,4,0,1,0,Chthamalus dalli,,,"Fucus distichus, Leathesia marina"
3,24,high,48.834553,-125.146991,3,,0,,19,5,0,0,,,Pisaster ochraceus,"Fucus distichus, Leathesia marina, Noodle"
3,25,high,48.834553,-125.146991,0,64,0,,17,0,1,0,,,,"Fucus distichus, Leathesia marina"
3,26,high,48.834553,-125.146991,0,640,0,,32,0,8,0,,,,Fucus distichus
3,27,high,48.834553,-125.146991,3,672,0,,32,6,14,0,"Chthamalus dalli, Balanus glandula",,Pisaster ochraceus,Fucus distichus
3,28,high,48.834553,-125.146991,0,3840,0,,20,0,60,0,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",,,Fucus distichus
3,29,high,48.834553,-125.146991,0,7600,0,,5,0,95,0,"Chthamalus dalli, Balanus glandula",,,Fucus distichus
3,30,high,48.834553,-125.146991,0,8160,0,,10,0,85,0,"Chthamalus dalli, Balanus glandula",,,Fucus distichus
3,31,high,48.834553,-125.146991,0,1152,208,,16,0,18,13,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
3,32,high,48.834553,-125.146991,0,1104,288,,20,0,23,18,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
3,33,high,48.834553,-125.146991,0,4320,1088,,16,0,45,17,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous, Pollicipes polymerus ",Mytilus trossulus,,Fucus distichus
3,34,high,48.834553,-125.146991,0,2400,384,,24,0,25,12,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous, Pollicipes polymerus ",Mytilus trossulus,,Fucus distichus
3,35,high,48.834553,-125.146991,0,672,160,,71,0,14,10,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
3,36,high,48.834553,-125.146991,0,1360,240,,26,0,17,15,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
3,37,high,48.834553,-125.146991,0,1664,352,,32,0,26,11,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
3,38,high,48.834553,-125.146991,1,384,0,,75,1,6,0,"Chthamalus dalli, Balanus glandula",,,Fucus distichus
3,39,high,48.834553,-125.146991,0,6400,160,,10,0,80,5,"Chthamalus dalli, Balanus glandula",Mytilus trossulus,,Fucus distichus
3,40,high,48.834553,-125.146991,1,1680,256,,17,1,35,16,"Chthamalus dalli, Balanus glandula, Semibalanus cariousous ",Mytilus trossulus,,Fucus distichus
5,1,low,48.834451,-125.146814,0,40,0,,0,0,7,0,"Balanus glandula, Semibalanus cariosus",,,
5,2,low,48.834451,-125.146814,0,2730,90,,1,0,30,6,"Balanus glandula, Semibalanus cariosus",Mytilus trossulus,,
5,3,low,48.834451,-125.146814,0,2178,680,,3,0,66,17,Balanus glandula,Mytilus trossulus,,Colpomenia peregrina
5,4,low,48.834451,-125.146814,0,10350,1911,,6,0,90,91,"Balanus glandula, Semibalanus cariosus",Mytilus trossulus,,Colpomenia peregrina
5,5,low,48.834451,-125.146814,0,609,2610,,8,0,21,90,"Balanus glandula, Semibalanus cariosus",Mytilus trossulus,,"Colpomenia peregrina, Fucus spp."
5,6,low,48.834451,-125.146814,0,1728,988,,28,0,24,26,Balanus glandula,Mytilus trossulus,,Colpomenia peregrina
5,7,low,48.834451,-125.146814,0,4350,544,,78,0,58,17,Balanus glandula,Mytilus trossulus,,Fucus spp.
5,8,low,48.834451,-125.146814,0,9078,4800,,31,0,89,64,"Balanus glandula, Semibalanus cariosus",Mytilus trossulus,,Fucus spp.
5,9,low,48.834451,-125.146814,3,3567,986,,58,2,41,29,"Balanus glandula, Semibalanus cariosus",Mytilus trossulus,Pisaster ochraceus,"Colpomenia peregrina, Fucus spp."
5,10,low,48.834451,-125.146814,2,224,0,,76,3,14,0,Balanus glandula,,Pisaster ochraceus,"Fucus spp., Alaria spp."
5,11,low,48.834451,-125.146814,0,0,0,,98,0,0,0,,,,"Fucus spp., Alaria spp., Leathesia difformis"
5,12,low,48.834451,-125.146814,2,0,0,,65,3,0,0,,,,"Fucus spp., Alaria spp., Colpomenia peregrina"
5,13,low,48.834451,-125.146814,0,0,0,,57,0,0,0,,,,"Fucus spp., Colpomenia peregrina"
5,14,low,48.834451,-125.146814,0,0,0,,47,0,0,0,,,,"Laminaria setchellii, Fucus spp."
5,15,low,48.834451,-125.146814,0,0,0,,27,0,0,0,,,,"Laminaria setchellii, Leathesia difformis"
5,16,high,48.834565,-125.147165,0,0,0,,56,0,0,0,,,,"Laminaria setchellii, Fucus spp."
5,17,high,48.834565,-125.147165,1,0,0,,49,3,0,0,,,Pisaster ochraceus,"Fucus spp., Leathesia difformis"
5,18,high,48.834565,-125.147165,0,2,0,,37,0,2,0,Balanus glandula,,,Alaria spp.
5,19,high,48.834565,-125.147165,0,0,0,,12,0,0,0,,,,"Laminaria setchellii, Fucus spp."
5,20,high,48.834565,-125.147165,1,0,2,,22,1,0,2,,Mytilus trossulus,Asterina miniata,Fucus spp. Laminaria setchellii
5,21,high,48.834565,-125.147165,0,0,0,,19,0,0,0,,,,"Fucus spp., Alaria spp., Leathesia difformis, Leathesia difformis"
5,22,high,48.834565,-125.147165,3,0,0,,44,4,0,0,,,Pisaster ochraceus,"Fucus spp., Alaria spp., Colpomenia peregrina"
5,23,high,48.834565,-125.147165,4,240,0,,39,5,10,0,Balanus glandula,,"Dermasterias imbricata, Pisaster ochraceus","Fucus spp., Alaria spp., Colpomenia peregrina"
5,24,high,48.834565,-125.147165,6,30,0,,28,5,6,0,Balanus glandula,,Pisaster ochraceus,"Egregia menziesii, Colpomenia peregrina, Fucus spp., Alaria spp."
5,25,high,48.834565,-125.147165,0,2232,0,,54,0,36,0,"Balanus glandula, Semibalanus cariosus",,,"Colpomenia peregrina, Fucus spp., Alaria spp."
5,26,high,48.834565,-125.147165,1,1260,2,,56,2,30,1,"Balanus glandula, Semibalanus cariosu, Pollicipes polymerus",Mytilus californianus,Pisaster ochraceus,"Egregia menziesii, Colpomenia peregrina"
5,27,high,48.834565,-125.147165,0,1794,23,,41,0,39,9,"Balanus glandula, Semibalanus cariosus",Mytilus californianus,,"Fucus spp., Alaria spp., Colpomenia peregrina"
5,28,high,48.834565,-125.147165,0,9306,688,,24,0,99,86,"Balanus glandula, Semibalanus cariosus",,,"Egregia menziesii, Colpomenia peregrina"
5,29,high,48.834565,-125.147165,0,4428,220,,22,0,82,22,Balanus glandula,,,"Egregia menziesii, Alaria spp."
5,30,high,48.834565,-125.147165,2,224,0,,87,3,19,0,"Balanus glandula, Semibalanus cariosus",,Pisaster ochraceus,"Egregia menziesii, Colpomenia peregrina, Alaria spp."
